key,Title,StoreName,Address,StoreN,Total,GST,NItems,Savings,Points,DateTime
U2FsdGVkX1+b+WA94yrPdLu/zaeacZzAqfITYrJxsmZ8bVFKPNL0E4Ju1PHr3F8Zc51J3g8xsNfr3+ZbI1c11iJUOeGJLWr9jSYMkvzqsLs=,1649 Marrickville Metro,Marrickville Metro,"Marrickville S/c, 34 Victoria Road",1649,78.24,1.01,18,7.38,78,2021-05-31 15:17:40
U2FsdGVkX1+brp5Qj4SGeAHCDXs+2hALGwpk9bVe1fN3H23Pp1OEBTAmQ7/5zPz5K+USpb87a8FCkQshq5IzxvluNaQS65xU0hzSqr9E4VU=,1149 Marrickville,Marrickville,463 Illawarra Road,1149,4.8,0,1,0,4,2021-06-20 14:06:33
U2FsdGVkX1+ggtK9eG3C5wCoUtBtj6yUvtcZQtDgt5reCPpi1fMP5Ui1y3lvDY2/OA0S/fC0pFcn4n02x81mQ/kgkD4E08gdZY2rv3UOdzQ=,1149 Marrickville,Marrickville,463 Illawarra Road,1149,9.3,0.57,3,3.05,10,2021-06-01 16:43:05
U2FsdGVkX1+YM1Xq6d8fVNo6P8yXvXfV3uztv2Sz8ZLdNL8TTlWlldblPEGtB5gh2+aJn8EonjNSVX/6oyczP/lu3uGv8ZK462TSIxDY9Ws=,1128 Wolli Creek,Wolli Creek,78-96 Arncliffe Street,1128,40,0.6,12,3.08,48,2021-06-21 16:42:14
U2FsdGVkX19Opr+953Y20sVH/sEzLQp9SIIVgYfMSOtWXVstDKe/BVMJSmQeHrvM92XaQ6K1jPctOeVd1iGWLei7eVlr+7UgZGi7QNs5pQU=,1149 Marrickville,Marrickville,463 Illawarra Road,1149,10.41,0,5,10.00,10,2021-06-16 18:57:08
